Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
Expansión,Unilever México nombra a Juan Pablo Galindo como su director general,"El ejecutivo sustituye a Lourdes Castañeda, quien asume la dirección de la división de Nutrición en Estados Unidos y Canadá.",Empresas,https://expansion.mx/empresas/2024/03/04/unilever-mexico-nombra-juan-pablo-galindo-director-general,05/03/2024
Expansión,¿Habrá suficiente electricidad para recargar los vehículos eléctricos?,La creciente demanda de este tipo de modelos ha detonado un alza en las solicitudes de servicios de suministro eléctrico para su carga.,Empresas,https://expansion.mx/empresas/2024/03/04/autos-electricos-suficiente-electricidad-para-recargarlos,05/03/2024
Expansión,La deuda de Pemex con sus proveedores sube 44% en los últimos cuatro meses,"La compañía arrastra deudas con sus contratistas desde antes del sexenio, pero en los últimos años ésta ha incrementado de manera constante.",Empresas,https://expansion.mx/empresas/2024/03/04/deuda-pemex-proveedores-asciende-febrero,04/03/2024
Expansión,Planta de BYD en México sigue pese a investigación de EU sobre los autos chinos,"El fabricante chino se ha convertido en un rival peligroso para Tesla, y el gobierno de Estados Unidos no es ajeno a la supremacía que China ha alcanzado en el mercado de vehículos eléctricos.",Empresas,https://expansion.mx/empresas/2024/03/04/planta-de-byd-en-mexico-sigue-en-pie,04/03/2024
Expansión,Más combustóleo y altas pérdidas: El costo de que Pemex produzca más gasolina,El negocio de refinación ha arrastrado de manera constante a la compañía. Sus pérdidas han aumentado a medida de que ha crecido la producción de refinados.,Empresas,https://expansion.mx/empresas/2024/03/04/costo-de-que-pemex-produzca-mas-gasolina,04/03/2024
Expansión,"Abogados piden honorarios por 6,000 mdd tras fallo a favor de Musk en EU","""El tamaño de la indemnización solicitada es grande porque el valor del beneficio para Tesla que logró el abogado del demandante fue enorme"", fundamentaron las firmas.",Empresas,https://expansion.mx/empresas/2024/03/02/abogados-piden-honorarios-por-6-000-mdd-tras-fallo-a-favor-de-musk-en-eu,02/03/2024
Expansión,"Sheinbaum promete más rutas de trenes, aeropuertos y aviones para Mexicana","Durante su arranque de campaña, la candidata de la coalición ""Sigamos Haciendo Historia"" dejó ver su intención de seguir apostando por las propuestas emblemáticas de la administración actual.",Empresas,https://expansion.mx/empresas/2024/03/01/sheinbaum-100-puntos-trenes-de-pasajeros,02/03/2024
Expansión,Walmart busca aprovechar el impulso del Tren Maya e Interoceánico en el sureste,"El plan de expansión del gigante minorista en la región contempla la apertura de 28 nuevas unidades, con una inversión de 1,175 millones de pesos hasta 2025.",Empresas,https://expansion.mx/empresas/2024/03/01/walmart-aprovechar-impulso-tren-maya-interoceanico-sureste,01/03/2024
Expansión,La polémica por la refinería de Cadereyta revive con la clausura de la planta,El gobierno estatal tomó la medida después de que personal acudió a realizar una inspección y no se le permitiera el acceso.,Empresas,https://expansion.mx/empresas/2024/03/01/refineria-cadereyta-es-clausurada,01/03/2024
Expansión,"La venta de autos usados se ""enfría"" ante una mayor oferta de vehículos nuevos","La normalización en el inventario de vehículos nuevos ha tenido un impacto directo en la demanda de autos usados, que experimentó un auge en los años previos debido a la escasez de unidades nuevas.",Empresas,https://expansion.mx/empresas/2024/03/01/venta-de-autos-usados-cae-por-suministro-de-autos-nuevos,01/03/2024
Expansión,Zara volverá a Ucrania tras dos años de cierre por la guerra,"Grupo Inditex, propietario de Zara, ha comunicado a los propietarios locales que comenzará a reabrir sus tiendas en Ucrania a principios de abril.",Empresas,https://expansion.mx/empresas/2024/03/01/zara-volvera-a-ucrania-tras-dos-anos,01/03/2024
Expansión,Pemex deberá pagar la mitad de su deuda en los próximos cuatro años,La compañía afrontará grandes obligaciones con sus tenedores y esto indica que la siguiente administración deberá de continuar con los apoyos a la compañía.,Empresas,https://expansion.mx/empresas/2024/03/01/pemex-debera-pagar-mitad-deuda-proximos-cuatro-anos,01/03/2024
Expansión,El AIFA y el Aeropuerto de Tulum tienen el mismo problema: es difícil llegar,"Ambos aeropuertos buscan descentralizar operaciones compitiendo con el AICM y el Aeropuerto de Cancún, pero la falta de transporte accesible reduce su atractivo para los pasajeros.",Empresas,https://expansion.mx/empresas/2024/02/29/aifa-y-el-aeropuerto-de-tulum-con-poca-conexion-para-llegar,29/02/2024
Expansión,JAC responde a la llegada de BYD Dolphin Mini y baja el precio del E10X,"Tras la llegada de BYD Dolphin Mini, JAC anunció una reducción de 82,000 pesos en el precio de su modelo E10X para reposicionarlo como el vehículo eléctrico más asequible en el mercado mexicano.",Empresas,https://expansion.mx/empresas/2024/02/29/jac-responde-a-byd-dolphin-mini-y-baja-precio-e10x,29/02/2024
Expansión,La Comer evalúa la apertura de más tiendas de Sumesa tras una década en pausa,"Hasta el momento, La Comer ha seguido una estrategia centrada en los segmentos de mayor poder adquisitivo; sin embargo, ahora está considerando impulsar el formato de precios más bajos.",Empresas,https://expansion.mx/empresas/2024/02/29/la-comer-apertura-tiendas-sumesa,29/02/2024
Expansión,Talos dice que la producción de Zama se demora por la falta de un plan adecuado,El proyecto se ha demorado más de lo previsto y el presupuesto fue reducido de manera reciente.,Empresas,https://expansion.mx/empresas/2024/02/29/produccion-campo-zama-demora-falta-plan-adecuado,29/02/2024
Expansión,"Tesla enfrentará la demanda de 6,000 trabajadores por discriminación racial","Los demandantes alegan que los trabajadores negros de la fábrica fueron objeto de una serie de conductas racistas, como insultos, pintas y lazos colgados en sus puestos de trabajo.",Empresas,https://expansion.mx/empresas/2024/02/29/tesla-enfrentaria-demanda-por-discriminacion-racial,29/02/2024
Expansión,AB InBev vende menos cerveza y su beneficio neto cae 6.3% en 2023,"La cervecera con sede en Bélgica registró una baja de 1.7% en el volumen mundial de cerveza vendida, a 585 millones de hectolitros, con caídas en Europa y sobre todo en Estados Unidos.",Empresas,https://expansion.mx/empresas/2024/02/29/ab-inbev-vende-menos-cerveza-y-beneficio-neto-cae-2023,29/02/2024
Expansión,EU investigará si los autos chinos son un riesgo para la seguridad nacional,El presidente Joe Biden advirtió que esta medida es necesaria ante el potencial que tiene China para saturar el mercado estadounidense con sus vehículos.,Empresas,https://expansion.mx/empresas/2024/02/29/eu-investigara-autos-chinos-riesgo-seguridad-nacional,29/02/2024
Expansión,BYD lanza el Dolphin Mini: el vehículo eléctrico más accesible del mercado,"Este automóvil urbano llega al mercado con la promesa de ser el vehículo eléctrico más accesible, con dos versiones que se sitúan por debajo de los 400,000 pesos.",Empresas,https://expansion.mx/empresas/2024/02/29/byd-dolphin-mini-electrico-mas-accesible-precio,29/02/2024
Expansión,"Liverpool quiere vender 1,800 autos eléctricos de BYD en 2024","Para acelerar la venta de los modelos de BYD, Liverpool considera abrir nuevos showrooms en Monterrey, Guadalajara y Cuernavaca.",Empresas,https://expansion.mx/empresas/2024/02/28/liverpool-quiere-vender-1-800-autos-electricos-byd-en-2024,29/02/2024
Expansión,Grupo Bimbo obtiene reconocimiento por reducción de su impacto ambiental,"La panificadora mexicana fue incluida por segunda ocasión en The A List 2023, que destaca a las empresas con las mejores estrategias ambientales en el mundo.",Empresas,https://expansion.mx/empresas/2024/02/28/grupo-bimbo-obtiene-reconocimiento-por-reduccion-de-su-impacto-ambiental,28/02/2024
Expansión,La china Foton alista el lanzamiento del primer vehículo de hidrógeno en México,"Se trata de un autobús con capacidad para 49 pasajeros además del conductor, que permite recorrer una distancia de hasta 500 km, suficiente para cubrir una ruta entre la Ciudad de México y Querétaro.",Empresas,https://expansion.mx/empresas/2024/02/28/foton-alista-el-primer-vehiculo-de-hidrogeno-en-mexico,28/02/2024
