Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
Expansión,Temas que preocupan al sector automotriz de cara a próxima revisión del T-MEC,Desde autos chinos hasta acero y aluminio. La revisión del principal acuerdo comercial que tiene México ya está cerca.,Empresas,https://expansion.mx/empresas/2024/03/06/los-tres-temas-que-le-preocupan-a-automotrices-tmec,07/03/2024
Expansión,Ignacio Alarcón asume la presidencia nacional de la Canirac,"El nuevo representante del sector restaurantero fue vicepresidente de Canirac y presidente del CCE en Puebla. Además, es accionista de Mr. Pampas y de los hoteles Confort en esa entidad.",Empresas,https://expansion.mx/empresas/2024/03/06/ignacio-alarcon-nuevo-presidente-canirac,07/03/2024
Expansión,Equipos de Pemex y de Carlos Slim discutieron proyecto de gas en aguas profundas,"La estatal ha intentado echar a andar el proyecto Lakach en varias sin éxito, ahora los rumores apuntan a que el empresario Carlos Slim podría entrar al negocio.",Empresas,https://expansion.mx/empresas/2024/03/06/equipos-pemex-carlos-slim-proyecto-gas-aguas-profundas,06/03/2024
Expansión,Puma incrementa 19% el ticket promedio de compra gracias a la IA,"Gracias al uso de herramiebtas de Google Cloud, los clientes pueden encontrar los productos exactos que desean en las tiendas más cercanas posibles, así como recibir recomendaciones más precisas.",Empresas,https://expansion.mx/empresas/2024/03/06/puma-clientes-gastan-mas-ia,06/03/2024
Expansión,Las claves detrás de los resultados financieros positivos de la CFE,"El año pasado, la compañía obtuvo utilidades después de años de pérdidas, pero los analistas indican que no se deben enteramente a la gestión interna de la empresa estatal.",Empresas,https://expansion.mx/empresas/2024/03/06/claves-resultados-financieros-positivos-cfe,06/03/2024
Expansión,Telcel aumenta sus ventas gracias a un mayor consumo de datos de planes 5G,"La tecnología 5G le ha permitido a la empresa elevar el ingreso promedio por usuario, que pasó de 171 pesos, en el segundo semestre de 2022, a 176 pesos en el mismo periodo de 2023.",Empresas,https://expansion.mx/empresas/2024/03/06/5g-telcel-aumenta-ventas,06/03/2024
Expansión,"Toyota invertirá 2,200 mdd para ensamblar autos híbridos en Brasil","La automotriz planea producir dos modelos ""híbridos flex"", que utilizan gasolina o etanol y baterías, generando cerca de 2,000 empleos.",Empresas,https://expansion.mx/empresas/2024/03/06/toyota-invertira-2000-mdd-para-autos-hibridos-en-brasil,06/03/2024
Expansión,BYD intensifica la guerra de precios de vehículos eléctricos en China,"La empresa rebajó el precio de su vehículo más asequible hasta los 9,700 dólares, unos 163,604 pesos.",Empresas,https://expansion.mx/empresas/2024/03/06/byd-intensifica-la-guerra-de-precios-autos-electricos,06/03/2024
Expansión,"¿Un auto eléctrico por debajo de los 300,000 pesos? SEV lo hace posible","La empresa automotriz mexicana SEV anunció el lanzamiento de una nueva versión de su modelo E-Wan Cross, denominada Lite 230, con un precio de 279,300 pesos.",Empresas,https://expansion.mx/empresas/2024/03/05/sev-e-wan-cross-lite-230-electrico-mas-barato-en-mexico,06/03/2024
Expansión,Restricciones a la venta de vapeadores impactan inventario de tiendas Sanborns,"Los vapeadores y líquidos se muestran como agotados en los anaqueles y en la plataforma en línea de la cadena. En medio de esta escasez, los vendedores de Sanborns promueven el IQOS de Philip Morris.",Empresas,https://expansion.mx/empresas/2024/03/05/por-que-ya-no-venden-vapeadores-en-sanborns,05/03/2024
Expansión,Altán presenta fallas en su red y provoca problemas en servicios de los OMV,La compañía ha dicho que trabaja en restablecer el servicio sin ofrecer mayores detalles sobre las fallas que ha tenido su red.,Empresas,https://expansion.mx/empresas/2024/03/05/senal-bait-altan-redes-falla,05/03/2024
