Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
La Jornada,Lozano quiere el primer título del Tri en la Liga  de Naciones de Concacaf   ,"La selección mexicana tiene una cuenta pendiente en la Liga de Naciones de la Concacaf. Des-de que se disputó por primera vez en 2019, el Tricolor se ha quedado a la deriva. Es un título que sigue sin exhibirse en sus vitrinas. Gerardo Martino ni Diego Cocca pudieron ganarlo como entrenadores. Esta situación podría cambiar con Jaime Lozano cuando el 21 de marzo México enfrente a Panamá por el pase a la final.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a11n3dep?partner=rss,06/03/2024
La Jornada,Jáquez aporta 11 puntos en el triunfo del Heat   ,Miami. El mexicano Jaime Jáquez Jr. finalizó con 11 puntos en el triunfo del Heat de Miami (118-110) ante los Pistones de Detroit.,Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a30n3dep?partner=rss,06/03/2024
La Jornada,"La selección femenil, por un partido memorable ante Brasil en la Copa Oro   ","En la mente del español Pedro López, técnico de la selección mexicana femenil, no existe otro escenario más que la final por el título de la Copa Oro W. Para llegar ahí, sus jugadoras deben salir victoriosas ante Brasil, una de las potencias mundiales en la categoría y su rival en las semifinales del torneo. El ambiente es inmejorable en la concentración de las mexicanas. Luego de avanzar sobre Paraguay en la fase anterior, López considera que está frente a una de sus mayores pruebas para demostrar que su crecimiento no es obra de la casualidad.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a11n2dep?partner=rss,06/03/2024
La Jornada,Charros femenil toma la delantera en serie de semifinal   ,"Los Diablos Rojos perdieron el primer duelo de semifinales en la Liga Mexicana de Softbol femenil. Los Charros de Jalisco le pegaron 6-3 a las escarlatas, para ponerse 1-0.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a30n2dep?partner=rss,06/03/2024
La Jornada,Tigres y Pachuca rescatan empates en octavos de final de la Liga de Campeones   ,Todo se definirá dentro de una semana en la Liga de Campeones de la Concacaf.,Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a30n1dep?partner=rss,06/03/2024
La Jornada,Mbappé comanda al PSG a los cuartos de final en la Champions   ,"San Sebastián. Kylian Mbappé no va extrañar al París Saint-Germain si decide partir a otro club. Los parisinos, en cambio, sí lo echarán de menos cuando el francés no esté para liquidar partidos definitorios, como el que se suscitó ayer en la Champions contra la Real Sociedad (2-1).",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a11n1dep?partner=rss,06/03/2024
La Jornada,"Bajo máxima seguridad, atletas desfilarán en barcos por el Sena   ","París. Un total de 180 barcos, entre ellos 94 que transportarán a los deportistas, desfilarán por el río Sena en París como parte de la ceremonia de inauguración de los Juegos Olímpicos 2024, el 26 de julio, detalló el prefecto de la región Ile-de-France, Marc Guillaume.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a12n1dep?partner=rss,06/03/2024
La Jornada,"Inspirada en mujeres, Agúndez anhela hacer historia en JO   ","El pasado 26 de febrero, Gabriela Agúndez por fin respiró con alivio. Convertirse de manera oficial en seleccionada olímpica le quitó un peso de encima a la clavadista, quien a partir de entonces desechó cualquier inquietud de su mente para concentrarse de lleno en su preparación.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a12n2dep?partner=rss,06/03/2024
La Jornada,Senadores aprueban iniciativa de igualdad salarial en el deporte   ,"Por unanimidad, el Senado de la República aprobó ayer reformas a la Ley Federal del Trabajo (LFT) encaminadas a avanzar hacia la igualdad salarial en el deporte profesional, con el establecimiento de un salario base para hombres y muje-res y el respeto pleno a los derechos laborales de futbolistas, boxeado-ras, luchadoras e integrantes de otras disciplinas, quienes no podrán ser discriminadas ni hostigadas.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a10n1dep?partner=rss,06/03/2024
La Jornada,"Un futbolista varonil gana hasta 5 mdd anuales, mientras una jugadora 12 mil mensuales   ","En el futbol profesional existe una amplia brecha salarial entre hombres y mujeres. De acuerdo con sitios especializados como Salary Sport, el delantero francés de Tigres, André-Pierre Gignac, percibe alrededor de 5 millones de dólares anuales, mientras el sueldo promedio de las jugadoras de la Liga Mx Femenil es entre 8 mil y 12 mil pesos mensuales. Salvo algunas excepciones, las mayoría de ellas aún debe pagar renta, comida y hasta nutriólogos profesionales ante la falta de un respaldo cabal de los clubes. La Comisión Federal de Competencia Económica sancionó en 2021 a la FMF por promover la brecha salarial de género.",Deportes,https://www.jornada.com.mx/2024/03/06/deportes/a10n2dep?partner=rss,06/03/2024
La Jornada,“Problema técnico” causó caída de Facebook e Instagram: Meta   ,"“Un problema técnico” provocó la caída mundial de Facebook e Instagram durante las primeras horas de ayer, confirmaron directivos de Meta, el conglomerado de empresas de tecnología al que pertenecen ambas redes sociales.",Economía,https://www.jornada.com.mx/2024/03/06/economia/019n2eco?partner=rss,06/03/2024
La Jornada,Irá en descenso la fuerza laboral a partir de 2044   ,"La población mexicana crecerá por última vez en 2051. Luego de ese año los nacimientos y llegadas de migrantes al país no compensarán las defunciones y salida de residentes, de acuerdo con proyecciones de la Comisión Económica para América Latina y el Caribe (Cepal).",Economía,https://www.jornada.com.mx/2024/03/06/economia/016n1eco?partner=rss,06/03/2024
