Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
La Jornada,Diablos Rojos femenil vence a Sultanes; enfrentará a Charros   ,"Diablos Rojos femenil empataron la última serie de la temporada regular en la Liga Mexicana de Softbol, al vencer en el segundo duelo a Sultanes de Monterrey por 9-5 en su visita a la Sultana del Norte. Las escarlatas enfrentarán a Charros de Jalisco en las semifinales que comenzarán en la Ciudad de México en el Parque Universitario de Beisbol de la UNAM mañana.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a12n3dep?partner=rss,04/03/2024
La Jornada,"Rayados, líder invicto, golea a Pumas   ","Monterrey y Pumas jugaron un partido con cierta anestesia, como si no se hubieran enterado que en el estadio BBVA miles de aficionados pagaron un boleto para celebrar a lo grande. Los primeros 45 minutos pasaron de largo. Y en los únicos momentos que cambiaron la noche, el mexicano-estadunidense Brandon Vázquez, el español Sergio Canales y Gerardo Arteaga le dieron el triunfo a los regiomontanos 3-0 en el cierre de la fecha 10 de la Liga Mx.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a09n2dep?partner=rss,04/03/2024
La Jornada,"México, imparable en la  Copa Oro W; va a semifinal   ","México sigue en un momento de algarabía en la Copa Oro W aunque debió enfrentar complejidades. Con una Jaqueline Ovalle que se ha convertido en pilar del plantel y ahora marcó un doblete, el tricolor femenil aseguró su pase a las semifinales del torneo donde enfrentarán a Brasil después de sortear un complicado encuentro para vencer 3-2 a Paraguay.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a09n1dep?partner=rss,04/03/2024
La Jornada,Paola Longoria alcanza su título 119 en el Abierto de Boston de raquetbol   ,"El legado de Paola Longoria en el raquetbol sigue extendiéndose. En el Abierto de Boston, la potosina logró un título más a un largo palmarés que supera la centena de trofeos.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a11n2dep?partner=rss,04/03/2024
La Jornada,Boston aplasta a Golden State con diferencia récord   ,"Los Celtics de Boston machacaron 140-88 a los Guerreros de Golden State en la tercera victoria más abultada de sus casi 80 años de historia en la NBA. Pese a la ausencia del estelar Kristaps Porzingis, el equipo del trébol afianzó su liderato en la Conferencia Este con 11 triunfos consecutivos. El escolta Jaylen Brown anotó 25 de sus 29 puntos en una frenética primera mitad, en la que los locales se adelantaron con asombroso marcador de 82-38, la mayor diferencia al descanso en la historia de la franquicia y, a su vez, el peor déficit de los Guerreros. Jayson Tatum contribuyó con 27 unidades y Stephen Curry, símbolo de Golden State, se quedó con sólo cuatro.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a30n1dep?partner=rss,04/03/2024
La Jornada,Los clavadistas mexicanos ratifican talento en Montreal   ,"Aplomo es la cualidad que han mostrado los clavadistas mexicanos en la Copa del Mundo que se realiza en Montreal, Canadá . Un rasgo que levanta expectativas rumbo a su participación en los Juegos Olímpicos en una jornada en la que la delegación tricolor agregó dos medallas más a su conteo.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a11n1dep?partner=rss,04/03/2024
La Jornada,"Inteligencia artificial  impacta en los deportes, coinciden especialistas   ",Boston. Los múltiples análisis avanzados que hay en el deporte están por medirse con un rival que los supera: la inteligencia artificial (IA).,Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a12n1dep?partner=rss,04/03/2024
La Jornada,"Como Acapulco, el bicampeón del Abierto Mexicano se reconstruyó   ","Acapulco, Gro., Cuando Alex de Miñaur llegó a Acapulco, arrastraba cuatro finales perdidas de manera consecutiva; una de sus peores rachas en el circuito ATP desde que se convirtió en profesional.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a12n2dep?partner=rss,04/03/2024
La Jornada,Santiago Giménez anota en el empate 2-2 del Feyenoord ante el PSV   ,"La Haya., El Feyenoord perdió una oportunidad para recortar distancia con el PSV, líder de la liga neerlandesa, ayer al empatar 2-2, en un duelo en el que el mexicano Santiago Giménez anotó para el equipo de Rotterdam, mientras su compatriota Hirving Chucky Lozano cumplió 100 partidos con el conjunto de Eindhoven.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a10n1dep?partner=rss,04/03/2024
La Jornada,"Mallorca, del Vasco Aguirre, a la final de la Copa del Rey   "," Madrid. El Mallorca, dirigido por el mexicano Javier Vasco Aguirre, venció 1-0 al Girona ayer en la jornada 27 de la Liga de España para acercarse a la permanencia en una semana perfecta tras lograr el pase a la final de la Copa del Rey.",Deportes,https://www.jornada.com.mx/2024/03/04/deportes/a10n2dep?partner=rss,04/03/2024
La Jornada,Marlene Santos Alejo: Balance de la jornada   ,"En vísperas del Día de la Mujer    y a horas de que se apruebe en el Senado la Ley de Equidad Salarial, el Tri femenil está demostrando con su participación en la Copa Oro W que la medida es necesaria y es apenas un principio de justicia que debe triunfar por encima de la mezquindad de la Federación Mexicana de Futbol (FMF), cuyos directivos han retrasado la salida a la luz desde noviembre con argumentos insostenibles... Restarán otros pasos hacia la publicación de una norma que dé, al comienzo de sus carreras profesionales, suelo parejo a hombres y mujeres.",Deportes,https://www.jornada.com.mx/2024/03/04/opinion/a10o1dep?partner=rss,04/03/2024
La Jornada,Carlos Fernández-Vega: México SA   ,"Práctica común en tiempos de campaña    electoral –cualquiera que sea el cargo público al que se aspira– es que los candidatos todo prometen y ya en el ejercicio del hueso suelen incumplir todo, o cuando menos la parte medular del interminable paquete de “compromisos” y “ofertas” –notariadas y, ya en el ridículo, con sangre de por medio– adquiridos durante el proselitismo. Y ello sucede aquí, allá y acullá.",Economía,https://www.jornada.com.mx/2024/03/04/opinion/019o1eco?partner=rss,04/03/2024
La Jornada,"Al sector energético, una de cada cuatro empresas atraídas por nearshoring   ","Una de cada cuatro firmas que han arribado a México por la relocalización de las cadenas globales de suministro, conocida como nearshoring, pertenecen al sector de energía, señaló Ricardo Ortega López, director general de Oil&amp;Gas Alliance.",Economía,https://www.jornada.com.mx/2024/03/04/economia/019n2eco?partner=rss,04/03/2024
La Jornada,"En 2023, inversión de mexicanos en el extranjero disminuyó 55.7%   ","Durante el año pasado, los mexicanos invirtieron 6 mil 429 millones de dólares en proyectos de largo plazo en el extranjero. Ese monto –principalmente destinado a la ampliación de operaciones de empresas nacionales en América Latina, España, Francia, Alemania y Estados Unidos– representa una caída de más de 50 por ciento a tasa anual, revelan datos oficiales.",Economía,https://www.jornada.com.mx/2024/03/04/economia/016n1eco?partner=rss,04/03/2024
La Jornada,Enrique Galván Ochoa: Dinero   ,"Hay personas interesadas en    que haya un rompimiento entre Claudia y Andrés Manuel. La tientan con preguntas como ésta: ¿eres una calca del López Obrador? En la concentración del Zócalo despejó dudas: defenderá su legado. Las diferencias habrá que buscarlas en la realidad. En días pasados tuvo Claudia una reunión con el sector de negocios, convocada por Francisco Cervantes, presidente del Consejo Coordinador Empresarial, y contestó preguntas sobre sus planes de gobierno y en particular acerca de su política en materia de energía verde. Su respuesta: es ambientalista, por lo tanto, partidaria de las energías verdes, sin demérito de la industria petrolera. Días después anunciaría en el Zócalo un programa de paneles solares para que las familias y los pequeños comercios generen su propia electricidad, lo cual se traduciría en un ahorro para su economía. López Obrador llegó a Palacio con el sector privado en contra, recuérdese que las organizaciones empresariales decían que era “un peligro para México”.",Economía,https://www.jornada.com.mx/2024/03/04/opinion/006o1eco?partner=rss,04/03/2024
La Jornada,Congresistas de EU presentan acuerdo de financiamiento para el gobierno   ,"Washington. Los negociadores del Congreso de Estados Unidos revelaron un acuerdo detallado para mantener en funcionamiento a gran parte del gobierno hasta el 30 de septiembre, mientras se apresuran a evitar otra fecha límite de cierre de la administración antes del viernes.",Economía,https://www.jornada.com.mx/2024/03/04/economia/017n2eco?partner=rss,04/03/2024
La Jornada,León Bendesky: Un ángulo en política monetaria   ,"El dilema de la política    monetaria en la Reserva Federal (FED) está dado, en general, por la confrontación de las condiciones del crecimiento económico y del empleo frente al comportamiento de la inflación, cuyo nivel está fijado en 2 por ciento anual.",Economía,https://www.jornada.com.mx/2024/03/04/economia/017a1eco?partner=rss,04/03/2024
La Jornada,David Márquez Ayala: Reporte económico   ,"La crisis pandémica    global de 2020 nos dejó en México con una interrogante: ¿cómo se habría comportado la economía en transformación de no haberse dado el colapso? Como un acercamiento para fines comparativos, sacamos la tasa promedio de crecimiento de los años cuarto y quinto de cada sexenio en lo que va del siglo, con la nueva base 2018: 2004-05, 2.84; 2010-11, 4.21; 2016-17, 1.82; y 2022-23, 3.59%; esto es, se tuvo un buen desempeño en el actual gobierno.",Economía,https://www.jornada.com.mx/2024/03/04/opinion/018o1eco?partner=rss,04/03/2024
La Jornada,La subocupación entre mujeres aumentó en enero   ,"En el arranque del año, la subrepresentación que viven las mujeres en el mercado laboral mexicano se vio rebasada por la necesidad y disponibilidad de trabajar más. En contrasentido de lo registrado entre hombres, en enero las trabajadoras buscaron laborar más horas, según información del Instituto Nacional de Estadística y Geografía (Inegi).",Economía,https://www.jornada.com.mx/2024/03/04/economia/017n1eco?partner=rss,04/03/2024
La Jornada,Pemex ha recuperado gran parte de ventas en el mercado interno   ,"En los últimos tres años Petróleos Mexicanos (Pemex) ha recuperado gran parte de ventas en el mercado interno hasta alcanzar los niveles previos a la pandemia. Registra una mayor comercialización de gasolinas, diésel y gas licuado de petróleo (LP), según datos de la empresa estatal.",Economía,https://www.jornada.com.mx/2024/03/04/economia/019n1eco?partner=rss,04/03/2024
La Jornada,"Este año, nuestro país será noveno productor mundial de agroalimentos   ","Para 2024, México avanzará un peldaño y se convertirá en el noveno mayor productor de agroalimentos del mundo, al tiempo que subirá dos escalones para ocupar la séptima posición entre los mayores exportadores de comida, revela el reporte anual Perspectivas Agroalimentarias 2024.",Economía,https://www.jornada.com.mx/2024/03/04/economia/016n2eco?partner=rss,04/03/2024
La Jornada,Sectur: feriados de marzo dejarán derrama por 48 mil 381 millones de pesos   ,"El segundo fin de semana largo del año, que será del 15 al 18 de marzo, dejará una derrama económica por consumo de servicios turísticos de 48 mil 381 millones de pesos, prevé la Secretaría de Turismo (Sectur).",Economía,https://www.jornada.com.mx/2024/03/04/economia/018n1eco?partner=rss,04/03/2024
La Jornada,OPEP+ extiende recortes a producción de crudo hasta segundo trimestre   ,"La Organización de Países Exportadores de Petróleo y sus aliados (OPEP+) anunciaron que ampliarán los recortes voluntarios a la producción de crudo hasta el segundo trimestre del año, lo que supone más apoyo para un mercado preocupado por las perspectivas de crecimiento económico mundial.",Economía,https://www.jornada.com.mx/2024/03/04/economia/018n2eco?partner=rss,04/03/2024
La Jornada,“México sólo tiene dos o tres años para alcanzar  el éxito en la industria espacial”   ,"México tiene dos o tres años, a lo más, para incursionar con éxito en la industria espacial y ser potencia a escala planetaria, advirtió Katya Echazarreta (Guadalajara,1995), quien en junio de 2022 se convirtió en la primera mexicana en viajar al espacio exterior, como parte de la misión Blue Origin NS-21.",Ciencias,https://www.jornada.com.mx/2024/03/04/ciencias/a05n1cie?partner=rss,04/03/2024
La Jornada,Hermann Bellinghausen: El Monje y la baronesa   ,"Hay fuegos interiores que    dificultan y acaban haciendo imposible la vida de artistas que han iluminado con sus antorchas a un mundo que las necesita. Eso le ocurrió a Thelonious Monk, uno de los padres del be bop y uno de los jazzistas más originales y virtuosos de la historia, que ya es decir. Había algo de ángel en él, incluyendo esa fragilidad propensa a graves riesgos. Nacido en 1917, poco después sus padres se mudaron a Manhattan, al departamento donde Thelonious vivió hasta su vida adulta. Como su amigo Charlie Parker, traía integrado su propio demonio, pero a diferencia de Bird, no tuvo problemas serios de adicción; lo suyo, literalmente, era mental. Mal diagnosticado por los siquiatras, fue tratado como loco o depresivo. Su familia lo salvó de los electrochoques, pero no de los antisicóticos que lo dejaron inútil los últimos años de su vida.",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a04a1cul?partner=rss,04/03/2024
La Jornada,"Por su libertad, Margo Glantz es la autora más cercana a las nuevas generaciones   ",La escritora y académica Margo Glantz posee una apertura a temas lejanos en apariencia y al diálogo con nuevas generaciones de autoras y ha desarrollado una obra literaria apasionada y diferente. Estas fueron algunas características de la actividad creativa y personalidad de la también académica que se celebraron al mediodía de este domingo en el homenaje que recibió en el Palacio de Bellas Artes.,Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a04n1cul?partner=rss,04/03/2024
La Jornada,Gladiola Orozco evoca su inicio en la danza: “sublime; era poner un pie en la esperanza”   ,"La coreógrafa, bailarina y maestra Gladiola Orozco, quien el próximo 9 de octubre cumplirá 90 años, asegura que “con pasión se puede lograr todo en la vida”. Su labor en favor de la danza contemporánea y la cultura del país ha sido esencial.",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a02n1cul?partner=rss,04/03/2024
La Jornada,Blanca Ríos se despide de los escenarios  con La Esmeralda   ,"Después de 23 años de carrera, la primera bailarina de la Compañía Nacional de Danza (CND), Blanca Ríos, se despide de los escenarios este 10 de marzo en el Palacio de Bellas Artes con el Ballet La Esmeralda, inspirado en la novela Nuestra señora de París, de Victor Hugo.",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a03n2cul?partner=rss,04/03/2024
La Jornada,El Ceprodac reconocerá en un tributo la vocación y entrega de la maestra Orozco   ,"El Centro de Producción de Danza Contemporánea (Ceprodac), que dirige Cecilia Lugo, realizará un homenaje a la bailarina, coreógrafa y fundadora del desaparecido Ballet Teatro del Espacio, Gladiola Orozco, este 16 de marzo en la sala principal del Palacio de Bellas Artes.",Cultura,https://www.jornada.com.mx/2024/03/04/cultura/a03n1cul?partner=rss,04/03/2024
