Fuente,Titulo,Resumen de Contenido,Seccion,URL,Fecha
Expansi¢n,Las mujeres ganan 7.7 d¢lares por cada 10 que reciben los hombres en el mundo,"Las mujeres en el mundo acceden solo al 64% de la protecci¢n legal que ampara a los hombres, informa el Banco Mundial.",Econom¡a,https://expansion.mx/economia/2024/03/04/mujeres-ganan-menos-que-hombres,04/03/2024
Expansi¢n,"Consumo privado avanza 0.2% en diciembre, desacelera el paso","De acuerdo con analistas, el incremento es m s a lo estimado por el Indicador Oportuno del Consumo Privado.",Econom¡a,https://expansion.mx/economia/2024/03/04/consumo-privado-avanza-0-2-en-diciembre-desacelera-paso,04/03/2024
Expansi¢n,La gasolina Premium suma cuatro meses sin subsidio,"Desde noviembre, este combustible no ha gozado de est¡mulo fiscal, a diferencia de la Magna y el di‚sel.",Econom¡a,https://expansion.mx/economia/2024/03/04/gasolina-premium-suma-cuatro-meses-sin-subsidio,04/03/2024
Expansi¢n,OPEP acuerda extender recorte de producci¢n hasta finales de junio,"Con la medida, las naciones productoras pretenden elevar el precio de la materia prima.",Econom¡a,https://expansion.mx/economia/2024/03/03/opep-acuerda-recorte-produccion-finales-junio,03/03/2024
Expansi¢n,La reuni¢n de la OMC cierra sin acuerdos en pesca y agricultura,"La directora general del organismo, Ngozi Okonjo-Iweala, destac¢ que la reuni¢n tuvo lugar ""contra un trasfondo internacional marcado por la mayor incertidumbre de cualquier tiempo que se recuerde"".",Econom¡a,https://expansion.mx/economia/2024/03/02/reunion-de-omc-cierra-sin-acuerdos-en-pesca-y-agricultura,02/03/2024
Expansi¢n,Monte de Piedad logra acuerdo con sindicato,El contrato colectivo de trabajo ser  sometido a votaci¢n de los trabajadores.,Econom¡a,https://expansion.mx/economia/2024/03/01/monte-de-piedad-logra-acuerdo-con-sindicato,02/03/2024
Expansi¢n,"No solo BBVA, NU M‚xico presenta fallas hoy para hacer transferencias",Algunos usuarios reportaron problemas al momento de querer realizar transferencias.,Econom¡a,https://expansion.mx/economia/2024/03/01/nu-mexico-presenta-fallas-hoy,01/03/2024
Expansi¢n,Ingresos petroleros y tributarios quedan por debajo de sus metas en enero,En el reporte de Hacienda se observ¢ un crecimiento de 28.6% en el gasto programable.,Econom¡a,https://expansion.mx/economia/2024/03/01/ingresos-tributarios-petroleros-no-logran-meta-hacienda,01/03/2024
Expansi¢n,Hacienda reduce el subsidio al di‚sel,"La cuota por el impuesto IEPS ser  de 6.08 pesos por litro; para el di‚sel, un monto mayor al de la semana que termina este viernes, de 5.79 pesos por litro.",Econom¡a,https://expansion.mx/economia/2024/03/01/hacienda-reduce-subsidio-al-diesel-precio-gasolina,01/03/2024
Expansi¢n,Analistas privados reducen expectativa de inflaci¢n,"Para el 2024, analistas consultados por el Banco de M‚xico (Banxico) esperan que la inflaci¢n cierre el a¤o en una tasa de 4.10%, desde un 4.17% previo.",Econom¡a,https://expansion.mx/economia/2024/03/01/analistas-privados-reducen-expectativa-de-inflacion,01/03/2024
Expansi¢n,BBVA reporta fallas en sus sistemas,El banco inform¢ a sus usuarios que sus sistemas presentaban fallas sin especificar si s¢lo era la app o tambi‚n enÿsucursales.,Econom¡a,https://expansion.mx/economia/2024/03/01/bbva-falla-app,01/03/2024
Expansi¢n,"Las remesas se desaceleran en enero y llegan a 4,574.6 mdd","En el primer mes de este a¤o, las remesas que llegaron a M‚xico cayeron 16.8% en comparaci¢n con el mes previo.",Econom¡a,https://expansion.mx/economia/2024/03/01/remesas-se-desaceleran-enero-2024,01/03/2024
Expansi¢n,Finamex busca capitalizar el nearshoring,"Una de las principales casas de bolsa en M‚xico pretende aprovechar esta tendencia, al tiempo que atrae a peque¤os inversionistas.",Econom¡a,https://expansion.mx/economia/2024/03/01/finamex-aprovechar-nearshoring-mexico,01/03/2024
Expansi¢n,"M‚xico arranca el a¤o con 52 anuncios de inversi¢n por casi 26,000 mdd",El 62% de los anuncios de inversi¢n corresponde a la industria del sector manufacturero.,Econom¡a,https://expansion.mx/economia/2024/02/29/mexico-arranca-el-ano-con-52-anuncios-de-inversion-por-casi-26-000-mdd,01/03/2024
Expansi¢n,Trabajadores de Monte de Piedad votar n por continuidad de huelga,"En caso de no llegar a un acuerdo entre la administraci¢n y el sindicato de Monte de Piedad esta semana, los trabajadores decidir n si contin£a o se levanta la huelga.",Econom¡a,https://expansion.mx/economia/2024/02/29/trabajadores-monte-piedad-votaran-huelga,29/02/2024
Expansi¢n,"En 17 a¤os, participaci¢n econ¢mica de mujeres en M‚xico ha pasado de 43 a 46%",El IMCO apunta que en el pa¡s la participaci¢n de las mujeres en la econom¡a tiene un retraso importante respecto al promedio de la OCDE.,Econom¡a,https://expansion.mx/economia/2024/02/29/participacion-economica-mujer-mexico-aumento-3-en-17-anos,29/02/2024
Expansi¢n,"Se pensionan 72,623 mexicanos con tasa de reemplazo del 72%: Consar","De enero de 2021 a diciembre pasado, 63,360 personas han logrado pensionarse gracias a la reducci¢n de las semanas cotizadas.",Econom¡a,https://expansion.mx/economia/2024/02/29/mas-72-623-mexicanos-pensionan-72-ultimo-salario-consar,29/02/2024
Expansi¢n,No por m‚rito propio: Millennials ser n la generaci¢n m s rica de la historia,"Ahora, lo importante es c¢mo gastar n en invertir n las grandes fortunas que heredar n en pa¡ses como Estados Unidos. El cambio generacional de la riqueza redefinir  el rumbo de los negocios.",Econom¡a,https://expansion.mx/economia/2024/02/29/illennials-seran-generacion-mas-rica-historia,29/02/2024
Expansi¢n,La digitalizaci¢n pone a competir a fintech y bancos: Hacienda,"Roberto Lazzeri, Jefe de la Oficina del Secretario de Hacienda, se¤ala que la llegada de empresas de tecnolog¡a financiera ayuda a la competencia en favor de los usuarios.",Econom¡a,https://expansion.mx/economia/2024/02/29/digitalizacion-pone-a-competir-a-fintech-y-bancos-hacienda,29/02/2024
Expansi¢n,La industria farmac‚utica mexicana puede prosperar m s con el nearshoring,"Hay mano de obra calificada, costos competitivos e infraestructura para propiciar el nearshoring en la industria farmac‚utica y de dispositivos m‚dicos.",Econom¡a,https://expansion.mx/economia/2024/02/29/industria-farmaceutica-prosperar-nearshoring,29/02/2024
Expansi¢n,"Banco de M‚xico perfila ""ajuste fino"" en el recorte a la tasa","El subgobernador Jonathan Heath dijo que ser¡a un ""error"" bajar la tasa prematuramente sin haber ganado la batalla contra la inflaci¢n; sin embargo, dijo que podr¡a haber un ajuste.",Econom¡a,https://expansion.mx/economia/2024/02/29/seria-un-error-bajar-tasa-de-interes-jonathan-heath,29/02/2024
Expansi¢n,Inflaci¢n en EU aumenta en enero en l¡nea con lo previsto,"El ¡ndice de precios de los gastos de consumo personal (PCE) subi¢ un 0.3% el mes pasado, inform¢ el jueves la Oficina de An lisis Econ¢mico del Departamento de Comercio.",Econom¡a,https://expansion.mx/economia/2024/02/29/inflacion-estados-unidos-enero-2024,29/02/2024
Expansi¢n,"7 de cada 10 personas invierten despu‚s del ""hubiera ahorrado""","Carlos Marmolejo, director general de la Sofipo Finsus, dijo que con GameIf buscan educar de manera did ctica a los usuarios incentivando el ahorro y las inversiones.",Econom¡a,https://expansion.mx/economia/2024/02/29/finsus-fomentar-ahorro-gameif,29/02/2024
